X03.07.2018,X14.49.44,X0.001233,X0.000733,X0.003226,X0.001290,X0.002350,X0.000807,X0.002374,X0.415148,X211.931476,X209.731352,X206.512412,X206.383755,X
12-12-2020,16:45:45,0.236396,-0.013743,0.399703,-0.663017,0.483564,8.399663,-0.206539,0.70874,-637.145936,84.782942,142.805728,102.669653,0.470422
12-12-2020,16:45:46,0.243482,-0.013846,0.340335,-0.431034,0.489408,8.400004,-0.183166,0.701963,-637.155126,95.563006,148.12078,113.335263,0.468291
12-12-2020,16:45:46,0.094733,-0.01553,0.312307,-0.284411,0.496068,8.400868,-0.143896,0.695359,-637.105,106.867307,152.893633,125.391039,0.467289
12-12-2020,16:45:47,-2.881685,-0.017458,0.321793,-0.18423,0.502417,8.39946,-0.147116,0.689034,-637.179772,115.471476,157.133059,137.558347,0.467928
12-12-2020,16:45:48,-2.063983,-0.012766,0.322908,-0.12639,0.506587,8.400517,-0.124625,0.682596,-637.170582,121.598572,157.441753,144.203833,0.465658
12-12-2020,16:45:49,-1.750472,-0.013727,0.332758,-0.085124,0.507178,8.399798,-0.136812,0.67513,-637.100405,128.893192,160.036204,136.448887,0.465079
12-12-2020,16:45:50,-0.075279,-0.015597,0.346178,-0.017304,0.505502,8.401006,0.343565,0.667019,-637.15262,131.440858,155.718664,135.257971,0.465775
12-12-2020,16:45:51,-0.994428,-0.014773,0.347209,-0.013677,0.497498,8.400343,-1.334139,0.661323,-637.113354,131.427909,150.156323,126.351792,0.463633
12-12-2020,16:45:52,-0.346569,-0.012072,0.348253,-0.01625,0.478611,8.40036,-2.41473,0.651925,-637.131316,127.371026,140.742199,120.116924,0.464192
12-12-2020,16:45:53,-0.532439,-0.016277,0.347503,-0.016776,0.476065,8.401177,-2.656305,0.646092,-637.120873,124.145403,132.764608,110.372802,0.456731
12-12-2020,16:45:54,-1.343023,-0.015119,0.346517,-0.016028,0.462458,8.399124,-2.891375,0.638266,-637.150949,120.779426,130.046096,150.535194,0.463486
12-12-2020,16:45:55,-1.636938,-0.017079,0.321232,-0.015794,0.482561,8.398443,-3.080768,0.633206,-637.11419,149.065242,168.455322,189.840427,0.455623
12-12-2020,16:45:56,-1.176258,-0.014423,0.322022,-0.01297,0.573545,8.398236,-3.083649,0.624965,-637.168911,195.032669,238.579835,222.20067,0.462323
12-12-2020,16:45:57,-0.805706,-0.013496,0.299294,-0.01722,0.66478,8.399963,-3.081285,0.621402,-637.156797,228.448905,295.940955,248.531563,0.460623
12-12-2020,16:45:57,-0.540898,-0.012294,0.300668,-0.015723,0.722034,8.399559,-3.080079,0.620841,-637.159721,258.278191,331.96835,252.300638,0.467293
12-12-2020,16:45:58,-0.37931,-0.016071,0.294238,-0.012157,0.796664,8.396011,-3.078217,0.609106,-637.149696,316.087941,390.330741,299.480285,0.454445
12-12-2020,16:45:59,-0.014418,-0.016655,0.274487,-0.01392,0.890379,8.399165,-3.080274,0.614161,-637.127975,387.46728,466.880184,357.508919,0.455135
12-12-2020,16:46:00,-0.066342,-0.016686,0.253718,-0.013935,0.971968,8.399499,-3.082362,0.601591,-637.158468,458.557558,537.65759,429.266293,0.461449
12-12-2020,16:46:01,-0.03479,-0.012261,0.238801,-0.014714,1.04301,8.396858,-3.081258,0.590765,-637.139253,513.782465,592.684916,466.71978,0.458914
12-12-2020,16:46:02,-0.014349,-0.018219,0.217728,-0.011713,1.098031,7.801852,-3.077084,0.595263,-637.155544,550.293161,629.753266,511.554772,0.460261
12-12-2020,16:46:03,-0.014623,-0.012521,0.199171,-0.014694,1.139407,7.249514,-3.078408,0.590974,-637.169329,573.883402,652.102048,528.430604,0.46208
12-12-2020,16:46:04,-0.016691,-0.015456,0.1845,-0.015065,1.163247,6.83427,-3.077019,0.586534,-637.114608,584.657618,662.292711,520.042814,0.463679
12-12-2020,16:46:05,0.050465,-0.013453,0.170393,-0.014411,1.171835,6.549738,-3.078801,0.582004,-637.201493,575.993298,653.434988,529.272725,0.463591
12-12-2020,16:46:06,-0.013652,-0.013711,0.172064,-0.014917,1.175946,6.426203,-3.077081,0.584498,-637.132152,565.66813,640.248446,510.392261,0.464269
12-12-2020,16:46:07,-0.01392,-0.01746,0.173732,-0.019465,1.175005,6.42884,-3.076291,0.58,-637.178101,559.781221,638.648166,527.245118,0.46432
12-12-2020,16:46:08,-0.016998,-0.013336,0.168617,-0.01685,1.191268,6.417275,-3.086233,0.575297,-637.153873,574.440221,652.549007,511.345077,0.46417
12-12-2020,16:46:08,-0.019322,-0.01266,0.163197,-0.016244,1.203175,6.387572,-3.074895,0.574745,-637.098734,582.136268,662.922631,519.612146,0.464568
12-12-2020,16:46:09,-0.074721,-0.015954,0.161353,-0.015797,1.199221,6.321533,-3.079807,0.574517,-637.13424,575.015419,652.98051,510.759018,0.469533
12-12-2020,16:46:10,-0.019428,-0.011405,0.150936,-0.015799,1.186128,6.349854,-3.081839,0.569885,-637.140924,549.968593,628.917411,480.554203,0.468337
12-12-2020,16:46:11,-0.015669,-0.014991,0.160553,-0.014634,1.194442,6.414017,-3.080804,0.566299,-637.12338,576.832913,658.084614,518.333927,0.465022
12-12-2020,16:46:12,-0.016023,-0.013655,0.157238,-0.017894,1.202775,6.371562,-3.084058,0.563293,-637.11962,573.641543,652.024352,510.568538,0.465979
12-12-2020,16:46:13,-0.0172,-0.011984,0.160432,-0.012667,1.185343,6.35566,-3.082502,0.561656,-637.166822,546.806881,624.72477,485.84628,0.471495
12-12-2020,16:46:14,-0.013534,-0.012341,0.167862,-0.011939,1.196721,6.42631,-3.082077,0.556602,-637.172253,578.959936,659.356149,516.283347,0.467819
12-12-2020,16:46:15,-0.015132,-0.014169,0.168431,-0.016262,1.193342,6.357336,-3.077694,0.556141,-637.159721,570.99989,648.9395,503.8228,0.467604
12-12-2020,16:46:16,-0.013762,-0.015428,0.166144,-0.016967,1.191742,6.393882,-3.083508,0.553693,-637.101241,577.797425,662.446014,517.464237,0.470247
12-12-2020,16:46:17,-0.017225,-0.014394,0.155334,-0.011897,1.213923,6.279384,-3.083732,0.551525,-637.134658,599.360895,681.345692,529.694203,0.466853
12-12-2020,16:46:18,-0.016306,-0.015465,0.163246,-0.018311,1.206686,6.211603,-3.078263,0.548569,-637.124215,564.873629,641.76393,503.800661,0.472312
12-12-2020,16:46:18,-0.020379,-0.014398,0.166564,-0.015139,1.174431,6.329362,-3.077694,0.545432,-637.142595,521.59631,601.431944,461.879256,0.469074
12-12-2020,16:46:19,0.049653,-0.015123,0.164295,-0.014299,1.198706,6.458323,-3.083447,0.542692,-637.100405,600.763594,685.364981,526.811944,0.468033
12-12-2020,16:46:20,-0.017225,-0.013843,0.150996,-0.01724,1.230593,6.274236,-3.080514,0.540138,-637.115443,614.074616,694.312931,541.393248,0.469887
12-12-2020,16:46:21,-0.013689,-0.017669,0.15648,-0.014569,1.217524,6.148323,-3.080045,0.537788,-637.150114,595.506188,679.496034,523.94723,0.472704
12-12-2020,16:46:22,-0.014045,-0.017552,0.157427,-0.014394,1.242004,6.053386,-3.081803,0.535529,-637.14886,625.063122,706.038711,550.153225,0.470994
12-12-2020,16:46:23,-0.017595,-0.015721,0.160204,-0.013327,1.226956,5.951324,-3.080018,0.533902,-637.140924,586.509364,666.356278,521.917535,0.473434
12-12-2020,16:46:24,-0.016798,-0.016666,0.166816,-0.012404,1.190917,6.054788,-3.084114,0.531704,-637.149696,532.150388,611.833138,469.990099,0.475087
12-12-2020,16:46:25,-0.019744,-0.011068,0.165683,-0.017288,1.229682,6.18213,-3.081713,0.528574,-637.145101,628.767868,714.954079,552.476576,0.476059
12-12-2020,16:46:26,-0.01857,-0.016284,0.149895,-0.015473,1.246768,5.973004,-3.083819,0.526694,-637.186455,616.621446,698.045247,547.599711,0.475691
12-12-2020,16:46:27,-0.014975,-0.012808,0.149231,-0.010877,1.217212,5.938714,-3.084259,0.524263,-637.165987,566.172316,645.988318,505.864609,0.474279
12-12-2020,16:46:28,0.068356,-0.018148,0.167435,-0.01487,1.194077,6.143773,-3.085239,0.522574,-637.132987,574.750586,668.317466,501.998205,0.474922
12-12-2020,16:46:28,-0.018008,-0.015974,0.139488,-0.015959,1.259488,6.049472,-3.079452,0.519731,-637.166405,643.187515,721.575754,563.812206,0.476936
12-12-2020,16:46:29,-0.013401,-0.014095,0.142205,-0.015763,1.242188,5.824781,-3.079199,0.518152,-637.157215,602.982516,681.74712,527.886316,0.477557
12-12-2020,16:46:30,-0.273033,-0.017661,0.141156,-0.013879,1.274085,5.743218,-2.956014,0.513968,-637.149278,666.730136,752.456021,585.625054,0.478152
12-12-2020,16:46:31,-0.143523,-0.011259,0.127353,-0.018615,1.299708,5.503957,-2.690927,0.515033,-637.155544,673.35933,757.437733,594.892142,0.478644
12-12-2020,16:46:32,-0.099042,-0.013192,0.129444,-0.017678,1.307773,5.310127,-2.506233,0.513042,-637.149696,674.74365,758.05721,596.92852,0.477743
12-12-2020,16:46:33,-0.01899,-0.015247,0.128526,-0.013174,1.312918,5.18384,-2.369659,0.51255,-637.155544,675.315089,758.037994,598.339991,0.478075
12-12-2020,16:46:34,-0.016466,-0.017734,0.132693,-0.018329,1.310218,5.119941,-2.289707,0.511026,-637.129645,678.973051,762.167978,598.568065,0.478782
12-12-2020,16:46:35,-0.011901,-0.015498,0.128743,-0.016293,1.307748,5.061537,-2.234985,0.508267,-637.140088,673.731517,758.714281,595.710035,0.481909
12-12-2020,16:46:36,-0.013017,-0.015404,0.135636,-0.012278,1.302741,5.059102,-2.248053,0.507295,-637.135911,659.433009,741.330085,585.907432,0.479338
12-12-2020,16:46:37,-0.017202,-0.014317,0.137888,-0.015523,1.304979,5.090813,-2.29497,0.507145,-637.119202,672.003833,755.683315,590.49816,0.482463
12-12-2020,16:46:38,-0.015126,-0.017943,0.131733,-0.015287,1.313554,5.056536,-2.246606,0.504611,-637.089544,673.580721,756.280235,595.035001,0.483292
12-12-2020,16:46:39,-0.016481,-0.017514,0.132599,-0.016554,1.315007,5.037488,-2.222993,0.502482,-637.122962,675.576581,758.849204,598.42813,0.48403
12-12-2020,16:46:39,-0.013271,-0.013163,0.129813,-0.01597,1.306299,5.021359,-2.219371,0.502345,-637.080355,662.547519,742.335534,583.262438,0.487312
12-12-2020,16:46:40,-0.012781,-0.015664,0.134227,-0.012766,1.31321,5.064364,-2.243708,0.499741,-637.103747,675.984692,756.692523,595.568846,0.485555
12-12-2020,16:46:41,-0.016953,-0.011526,0.123902,-0.011268,1.311533,5.058121,-2.221118,0.50173,-637.136329,671.779101,753.747607,594.494474,0.487834
12-12-2020,16:46:42,-0.017645,-0.015269,0.115101,-0.014944,1.308837,5.045491,-2.207856,0.498602,-637.113772,673.792922,764.38314,598.21927,0.4864
12-12-2020,16:46:43,-0.01453,-0.013908,0.109365,-0.014567,1.315411,4.994516,-2.17382,0.497263,-637.097481,658.705761,744.428722,586.992247,0.488865
12-12-2020,16:46:44,-0.016901,-0.014319,0.103134,-0.017999,1.315491,5.002045,-2.167897,0.497276,-637.127557,672.088212,756.558853,593.529126,0.488354
12-12-2020,16:46:45,-0.01617,-0.014811,0.111489,-0.014225,1.319239,5.011201,-2.166967,0.493632,-637.12881,675.732807,761.227694,597.65535,0.489911
12-12-2020,16:46:46,-0.0163,-0.022378,0.116325,-0.017591,1.317854,4.991963,-2.145017,0.490996,-637.109177,673.019725,758.272335,596.469029,0.490194
12-12-2020,16:46:47,-0.013399,-0.017768,0.118945,-0.014933,1.32188,4.977677,-2.131029,0.49088,-637.186873,673.043535,759.829172,596.065513,0.49286
12-12-2020,16:46:48,-0.017818,-0.014899,0.115449,-0.014809,1.32091,4.985009,-2.138389,0.488802,-637.12338,667.466574,757.119431,593.78477,0.492094
12-12-2020,16:46:49,-0.017661,-0.015648,0.114841,-0.017079,1.322106,4.978399,-2.115842,0.490515,-637.13424,674.201869,759.753565,594.353285,0.491426
12-12-2020,16:46:49,-0.015422,-0.012656,0.10798,-0.013652,1.317187,4.970377,-2.120966,0.487663,-637.098317,673.007193,758.384701,595.932679,0.494201
12-12-2020,16:46:50,-0.015922,-0.012582,0.101272,-0.015363,1.317571,4.963644,-2.104493,0.485879,-637.155962,673.0097,758.682952,594.93642,0.494885
12-12-2020,16:46:51,-0.013989,-0.016403,0.104728,-0.015337,1.323229,4.943419,-2.104261,0.484608,-637.174341,672.749043,759.309112,595.435176,0.494484
12-12-2020,16:46:52,-0.016324,-0.014481,0.105609,-0.016385,1.32361,4.948955,-2.094378,0.484109,-637.122126,671.470407,756.514992,593.723365,0.496471
12-12-2020,16:46:53,-0.015424,-0.014643,0.104403,-0.016399,1.320694,4.944884,-2.106991,0.483369,-637.144266,674.956268,760.937379,595.845793,0.497686
12-12-2020,16:46:54,-0.017344,-0.016729,0.105748,-0.016093,1.320705,4.931325,-2.091521,0.481586,-637.126304,671.937834,758.050526,592.760941,0.497055
12-12-2020,16:46:55,-0.015559,-0.013594,0.111468,-0.01233,1.3222,4.942236,-2.10107,0.481053,-637.159303,673.370609,759.177949,594.867914,0.497465
12-12-2020,16:46:56,-0.014921,-0.015009,0.111232,-0.013816,1.32547,4.939358,-2.098242,0.479351,-637.147607,673.9032,760.578559,594.018274,0.498184
12-12-2020,16:46:57,-0.013386,-0.014867,0.102693,-0.016448,1.322602,4.93791,-2.09458,0.478302,-637.094975,672.445362,757.527542,597.802805,0.499976
12-12-2020,16:46:58,-0.015379,-0.015429,0.10567,-0.014589,1.318624,4.937383,-2.091558,0.47606,-637.190215,669.820836,757.470315,592.992775,0.501344
12-12-2020,16:46:59,-0.013105,-0.013958,0.113488,-0.016854,1.315858,4.928612,-2.09462,0.475374,-637.118785,668.603604,754.750967,592.158173,0.502593
12-12-2020,16:47:00,-0.018738,-0.015204,0.110703,-0.013951,1.314704,4.932298,-2.092422,0.474282,-637.155962,672.398577,758.559725,591.762594,0.502075
12-12-2020,16:47:00,-0.016711,-0.017869,0.109997,-0.010743,1.312036,4.932366,-2.093746,0.472787,-637.18186,671.416521,757.237228,594.847863,0.503633
12-12-2020,16:47:01,-0.018336,-0.01612,0.106367,-0.014578,1.316655,4.938231,-2.097361,0.470751,-637.152202,672.111187,757.476998,596.050058,0.505099
12-12-2020,16:47:02,-0.014387,-0.012215,0.103128,-0.013491,1.314877,4.928578,-2.096971,0.468542,-637.096646,670.767386,757.486188,593.825706,0.505471
12-12-2020,16:47:03,-0.018783,-0.012306,0.106205,-0.013486,1.320472,4.92587,-2.100749,0.468277,-637.149696,672.272426,758.012931,595.602263,0.505972
12-12-2020,16:47:04,-0.018312,-0.014741,0.109019,-0.014129,1.320669,4.90986,-2.093066,0.468406,-637.146772,670.078568,757.565972,593.344494,0.505908
12-12-2020,16:47:05,-0.014463,-0.016196,0.108838,-0.015644,1.318631,4.925861,-2.09345,0.465757,-637.132569,671.495052,757.506239,593.577999,0.507633
12-12-2020,16:47:06,-0.01919,-0.013457,0.118741,-0.013873,1.320815,4.925889,-2.098114,0.464989,-637.133823,671.737329,757.474074,595.197494,0.508509
12-12-2020,16:47:07,-0.01411,-0.016392,0.119478,-0.014705,1.323741,4.931612,-2.101055,0.462508,-637.074924,672.466248,759.293657,593.363709,0.508628
12-12-2020,16:47:08,-0.014223,-0.01857,0.125777,-0.014876,1.321349,4.929465,-2.095653,0.462207,-637.109595,669.611559,756.477815,593.209571,0.50851
12-12-2020,16:47:09,-0.017368,-0.014822,0.12354,-0.014115,1.320364,4.93517,-2.09396,0.459656,-637.126721,671.486698,757.094786,590.61888,0.510155
12-12-2020,16:47:10,-0.015803,-0.015631,0.116855,-0.018118,1.319848,4.929743,-2.096014,0.458676,-637.13424,672.223971,757.654111,593.482759,0.510874
12-12-2020,16:47:11,-0.018345,-0.013794,0.112085,-0.013771,1.313691,4.933625,-2.093722,0.458121,-637.164734,668.941956,753.859555,590.098821,0.512137
12-12-2020,16:47:11,-0.01086,-0.015195,0.114406,-0.014036,1.317971,4.926249,-2.094456,0.456071,-637.109177,669.741052,755.716314,590.128061,0.513076
12-12-2020,16:47:12,-0.01588,-0.012371,0.119452,-0.013554,1.3213,4.930105,-2.098733,0.455377,-637.160557,672.065238,757.619023,591.284724,0.513895
12-12-2020,16:47:13,-0.016488,-0.014443,0.118539,-0.012885,1.325054,4.931094,-2.094005,0.453159,-637.130899,672.701423,758.451954,591.934694,0.514802
12-12-2020,16:47:14,-0.015925,-0.011812,0.109625,-0.016331,1.315981,4.920276,-2.095799,0.453989,-637.146354,670.070214,755.136939,590.004416,0.515799
12-12-2020,16:47:15,-0.014014,-0.014611,0.110133,-0.012957,1.317773,4.925844,-2.091398,0.451542,-637.120456,670.997967,757.353771,589.904581,0.515203
12-12-2020,16:47:16,-0.016978,-0.016457,0.107306,-0.011551,1.318269,4.93211,-2.094032,0.450455,-637.145936,667.758559,755.870453,591.594671,0.516924
12-12-2020,16:47:17,-0.015976,-0.013615,0.111125,-0.013017,1.319879,4.932224,-2.102925,0.448801,-637.159303,670.751513,756.608561,594.400905,0.517995
12-12-2020,16:47:18,-0.015429,-0.015849,0.106417,-0.01674,1.325959,4.931953,-2.099856,0.448106,-637.169329,670.482084,756.450664,594.352031,0.519541
12-12-2020,16:47:19,-0.015065,-0.013603,0.103089,-0.0165,1.318175,4.926748,-2.095673,0.448407,-637.126721,669.02174,755.248887,591.29266,0.517624
12-12-2020,16:47:20,-0.016206,-0.017227,0.117052,-0.016214,1.315509,4.934123,-2.09934,0.445333,-637.126304,669.141625,756.069704,594.443094,0.51904
12-12-2020,16:47:21,-0.015561,-0.016484,0.116074,-0.014748,1.30909,4.919751,-2.098781,0.444142,-637.127557,669.9921,755.685821,594.114767,0.519646
12-12-2020,16:47:21,-0.01193,-0.013543,0.121303,-0.017818,1.309106,4.920213,-2.091055,0.444899,-637.145936,666.383847,752.570893,590.427147,0.520271
12-12-2020,16:47:22,-0.014418,-0.015821,0.122428,-0.01242,1.316648,4.918899,-2.095976,0.442654,-637.142177,670.1972,756.744738,591.250471,0.521901
12-12-2020,16:47:23,-0.014097,-0.016426,0.123,-0.011917,1.317816,4.913279,-2.092278,0.442573,-637.108342,667.506257,752.859537,593.598467,0.521669
12-12-2020,16:47:24,-0.014535,-0.011764,0.11802,-0.015527,1.317869,4.92583,-2.09546,0.441263,-637.125468,669.028841,755.538366,592.164021,0.521592
12-12-2020,16:47:25,-0.01828,-0.011592,0.120501,-0.012748,1.316257,4.919144,-2.09867,0.441457,-637.089962,667.422713,753.294382,592.277641,0.523091
12-12-2020,16:47:26,-0.017321,-0.016702,0.127456,-0.015579,1.313639,4.923825,-2.098237,0.440136,-637.146772,666.562213,755.097255,593.28852,0.521834
12-12-2020,16:47:27,-0.01486,-0.018345,0.120543,-0.016129,1.315043,4.933831,-2.093684,0.440894,-637.122544,669.581901,755.891339,590.347781,0.521776
12-12-2020,16:47:28,-0.019556,-0.011558,0.113721,-0.011839,1.317542,4.934843,-2.097161,0.439934,-637.194392,669.643723,755.689163,591.924251,0.522428
12-12-2020,16:47:29,-0.014732,-0.01467,0.106999,-0.015254,1.316093,4.929641,-2.095897,0.439638,-637.172253,668.727248,755.610214,589.841506,0.523616
12-12-2020,16:47:30,-0.015004,-0.013311,0.108985,-0.016549,1.316718,4.93512,-2.088153,0.439558,-637.128392,668.312036,754.175768,591.784733,0.521971
12-12-2020,16:47:31,-0.018112,-0.015233,0.113155,-0.017827,1.318103,4.931,-2.094838,0.438975,-637.13424,669.400193,754.710866,592.718752,0.523025
12-12-2020,16:47:32,-0.014542,-0.012085,0.107238,-0.014304,1.317932,4.933622,-2.093087,0.439525,-637.117532,669.951582,755.611885,589.998568,0.523408
12-12-2020,16:47:32,-0.014533,-0.014279,0.111009,-0.010384,1.316087,4.941036,-2.088125,0.439247,-637.13424,669.288245,756.173716,589.450521,0.522989
12-12-2020,16:47:33,-0.013922,-0.013715,0.116714,-0.016008,1.320584,4.945019,-2.104156,0.440625,-637.145101,671.639583,758.109842,591.251306,0.523319
12-12-2020,16:47:34,-0.017041,-0.012954,0.116706,-0.01577,1.313044,4.939983,-2.096513,0.440359,-637.141342,668.903526,755.318229,589.489369,0.5224
12-12-2020,16:47:35,-0.015887,-0.018105,0.119585,-0.017966,1.316098,4.927872,-2.09803,0.439828,-637.14886,667.58437,753.753037,592.096769,0.522792
12-12-2020,16:47:36,-0.016481,-0.014838,0.118494,-0.017553,1.321621,4.932433,-2.099537,0.440893,-637.11962,671.693051,756.672055,590.954308,0.521934
12-12-2020,16:47:37,-0.015074,-0.014659,0.118211,-0.013891,1.317169,4.941063,-2.09438,0.441673,-637.181443,667.392637,753.418444,590.438008,0.521419
12-12-2020,16:47:38,-0.014064,-0.016042,0.118151,-0.014328,1.318026,4.942035,-2.09056,0.443005,-637.134658,667.858811,755.706707,589.120941,0.521196
12-12-2020,16:47:39,-0.013661,-0.017988,0.115334,-0.012011,1.317212,4.933525,-2.085942,0.442068,-637.121291,666.581846,751.948493,591.017801,0.52105
12-12-2020,16:47:40,-0.018278,-0.019084,0.106685,-0.015346,1.316542,4.933473,-2.094876,0.442714,-637.14719,669.542635,756.734712,591.881644,0.521147
12-12-2020,16:47:41,-0.017131,-0.017793,0.098337,-0.015615,1.317791,4.936832,-2.095448,0.444363,-637.136329,671.654621,757.383429,592.125174,0.521485
12-12-2020,16:47:42,-0.016053,-0.017386,0.103553,-0.01467,1.314578,4.921758,-2.099074,0.444026,-637.140506,668.244366,753.722543,591.323989,0.519379
12-12-2020,16:47:42,-0.016369,-0.014751,0.104634,-0.014331,1.315512,4.902993,-2.097009,0.444697,-637.138417,667.37384,753.116016,589.746684,0.51998
12-12-2020,16:47:43,-0.015676,-0.013114,0.10562,-0.012943,1.316233,4.918818,-2.10359,0.443769,-637.173506,668.339606,752.502805,590.072504,0.519611
12-12-2020,16:47:44,-0.017288,-0.014878,0.105769,-0.013302,1.314475,4.937046,-2.103165,0.446705,-637.165151,669.729773,756.210058,591.787657,0.518241
12-12-2020,16:47:45,-0.016262,-0.017759,0.102116,-0.014135,1.321794,4.952447,-2.104607,0.445537,-637.107089,670.636223,757.017508,592.624347,0.51945
12-12-2020,16:47:46,-0.015031,-0.018659,0.102064,-0.01573,1.319163,4.946034,-2.099144,0.447359,-637.178936,666.41434,754.450209,590.076264,0.518008
12-12-2020,16:47:47,-0.01738,-0.013228,0.100084,-0.014645,1.319784,4.929145,-2.104374,0.450031,-637.15805,669.513813,756.800294,592.560854,0.518629
12-12-2020,16:47:48,-0.015402,-0.014562,0.105206,-0.014771,1.316058,4.942834,-2.10247,0.448313,-637.157633,671.195965,758.228056,590.786385,0.518491
12-12-2020,16:47:49,-0.01661,-0.015375,0.110936,-0.014239,1.317339,4.941851,-2.105043,0.45015,-637.116696,668.712628,754.835346,593.580923,0.517389
12-12-2020,16:47:50,-0.012782,-0.018383,0.114584,-0.017391,1.314686,4.944102,-2.106453,0.451194,-637.107089,670.991701,757.134469,590.484375,0.517128
12-12-2020,16:47:51,-0.013489,-0.015552,0.117681,-0.011342,1.311881,4.941599,-2.099322,0.449811,-637.137164,668.608616,754.556728,591.526165,0.517069
12-12-2020,16:47:52,-0.016037,-0.011767,0.123475,-0.013992,1.312058,4.925602,-2.089645,0.449073,-637.073253,666.528795,752.352426,589.144334,0.515941
