Date,Time,F1,F2,F3,F4,F5,F6,F7,Top Tank,P1,P2,P3,P4,Bottom Tank
11-12-2020,14:54:00,0.001182,0.000205,0.001497,0.001581,0.264145,0.096389,-0.185975,0.542489,-637.097899,-31.720868,55.809144,-123.775608,0.51448
11-12-2020,14:54:01,0.000978,0.00069,0.001245,0.001067,0.264338,0.096414,-0.164645,0.542242,-637.104582,-32.438926,54.558912,-123.672013,0.514992
11-12-2020,14:54:02,0.001429,0.00129,0.001513,0.002248,0.267305,0.095709,-0.220473,0.542217,-637.105418,-30.013234,57.60784,-120.394593,0.515422
11-12-2020,14:54:03,0.001236,0.000418,0.001345,0.000513,0.26679,0.094677,-0.224476,0.542497,-637.103329,-29.349062,56.827124,-121.221258,0.515848
11-12-2020,14:54:04,0.001173,0.000921,0.001004,0.001635,0.266206,0.094858,-0.1642,0.542394,-637.111266,-29.471871,57.852623,-121.177398,0.515979
11-12-2020,14:54:04,0.001079,0.000892,0.001046,0.000367,0.268903,0.093596,-0.214373,0.542133,-637.105418,-31.366643,56.01299,-122.811931,0.516312
11-12-2020,14:54:05,0.001404,0.001054,0.00123,0.001959,0.267333,0.096576,-0.236736,0.541665,-637.112519,-31.262213,56.879339,-122.217099,0.516653
11-12-2020,14:54:06,0.001063,0.000638,0.001961,0.000609,0.269013,0.096736,-0.23311,0.541762,-637.107506,-30.46813,57.449107,-121.897545,0.517135
11-12-2020,14:54:07,0.066147,0.000894,0.000983,0.001198,0.272028,0.095764,-0.280633,0.541982,-637.092886,-31.727134,55.581069,-122.932651,0.517494
11-12-2020,14:54:08,0.10686,0.001061,0.002095,0.001563,0.271272,0.096405,-0.269287,0.542103,-637.094557,-31.913854,55.383488,-124.020808,0.517814
11-12-2020,14:54:09,0.084486,0.000731,0.000737,0.002123,0.26823,0.09346,-0.258023,0.541528,-637.100405,-31.169062,56.147913,-122.952702,0.518384
11-12-2020,14:54:10,0.085559,0.000854,0.001602,0.001317,0.269109,0.090927,-0.283826,0.541347,-637.107924,-30.052082,57.138324,-121.633547,0.518503
11-12-2020,14:54:11,0.095319,0.00056,0.002352,0.001191,0.268708,0.092613,-0.22491,0.541965,-637.107089,-31.212087,55.539297,-122.67116,0.518941
11-12-2020,14:54:12,0.11521,0.000953,0.001728,0.001801,0.26477,0.094311,-0.205392,0.54168,-637.101241,-31.389617,56.096116,-123.466078,0.519147
11-12-2020,14:54:13,0.082194,0.000535,0.000729,0.001139,0.262589,0.094887,-0.2147,0.54155,-637.119202,-31.633983,56.380583,-123.856645,0.519694
11-12-2020,14:54:14,0.072175,0.001234,0.001662,0.001146,0.264475,0.094858,-0.218318,0.540989,-637.103747,-31.318605,54.710126,-122.719197,0.52009
11-12-2020,14:54:15,0.066229,0.000282,0.000577,0.000125,0.267015,0.094381,-0.211097,0.541183,-637.100823,-30.76847,56.780339,-123.034157,0.520516
11-12-2020,14:54:15,0.001256,0.000764,0.001558,0.001992,0.268266,0.095325,-0.18291,0.541518,-637.096228,-31.489034,56.548088,-123.078435,0.521024
11-12-2020,14:54:16,0.000931,0.000944,0.001411,0.000854,0.268735,0.093251,-0.187977,0.541004,-637.099987,-30.622686,56.246913,-122.129379,0.521327
11-12-2020,14:54:17,0.001081,0.000812,0.000818,0.00149,0.267426,0.095138,-0.195403,0.540515,-637.092886,-30.85619,56.28409,-123.131486,0.521466
11-12-2020,14:54:18,0.000794,0.000492,0.00145,-8e-05,0.267468,0.094394,-0.145436,0.540735,-637.103747,-30.765963,57.203906,-122.836994,0.521667
