Date,Time,F1,F2,F3,F4,F5,F6,F7,Top Tank,P1,P2,P3,Unknown,Bottom Tank
07-07-2020,15:26:31,-0.019587,-0.190984,-0.016496,-0.014046000000000001,-1.188091,3.120315,-0.008935,0.294476,-637.14343,1.875405,811.259105,-12.306560000000001,0.516461
07-07-2020,15:26:32,-0.017393000000000002,-0.186392,-0.019366,-0.016113,-1.1931200000000002,3.112766,-0.008935,0.291905,-637.121291,2.593881,811.939569,-12.582253999999999,0.515958
07-07-2020,15:26:33,-0.016169,-0.179519,-0.014118,-0.014924000000000002,-1.1915440000000002,3.112094,-0.006919,0.29743800000000004,-637.135076,2.8169419999999996,799.67368,-13.649942999999999,0.515725
07-07-2020,15:26:34,-0.017828999999999998,-0.170819,-0.016533000000000003,-0.012863999999999999,-1.200038,3.118434,-0.007784,0.294469,-637.140088,2.791879,813.291306,-12.751847999999999,0.515462
07-07-2020,15:26:35,-0.017912,-0.16453900000000002,-0.016656,-0.015604,-1.2044620000000001,3.12299,-0.009477,0.29735700000000004,-637.127557,2.274326,805.040111,-12.494116,0.517133
07-07-2020,15:26:35,-0.017319,-0.157329,-0.015235,-0.016259,-1.205339,3.125148,-0.00951,0.29336599999999996,-637.1375820000001,3.2375849999999997,809.8584950000001,-12.541736,0.5161180000000001
07-07-2020,15:26:36,-0.017103999999999998,-0.147399,-0.015238,-0.015747,-1.207219,3.116295,-0.006534999999999999,0.294147,-637.137164,3.274762,803.1854400000001,-13.396388,0.516184
07-07-2020,15:26:37,-0.018357,-0.141402,-0.012190000000000001,-0.017048,-1.209652,3.1247540000000003,-0.008248,0.29469,-637.147607,3.210851,803.802828,-12.779,0.5165029999999999
07-07-2020,15:26:38,-0.017544,-0.14172300000000002,-0.016666999999999998,-0.015522999999999999,-1.216766,3.128346,-0.010366,0.289444,-637.1375820000001,2.532058,808.362227,-12.65076,0.516135
07-07-2020,15:26:39,-0.019034,-0.141781,-0.01619,-0.013143,-1.214702,3.128973,-0.01026,0.294261,-637.151784,2.152352,808.3672389999999,-12.959036,0.516109
07-07-2020,15:26:40,-0.018253,-0.135344,-0.012846000000000002,-0.014393000000000001,-1.211904,3.131383,-0.0103,0.292962,-637.1288099999999,2.1385669999999997,807.111577,-12.490774,0.514709
07-07-2020,15:26:41,-0.018922,-0.13033499999999998,-0.014981,-0.015676,-1.217242,3.133002,-0.006564,0.29420999999999997,-637.141759,3.043346,808.074836,-12.353344,0.517303
07-07-2020,15:26:42,-0.014349,-0.13247,-0.0132,-0.013706,-1.2216690000000001,3.1322229999999998,-0.008672,0.293165,-637.143012,3.101409,810.7173240000001,-13.283604,0.516979
07-07-2020,15:26:43,-0.016538,-0.129744,-0.015538999999999999,-0.014218000000000001,-1.224056,3.126311,-0.008796,0.29536599999999996,-637.133823,2.906334,810.001355,-12.864214,0.514312
07-07-2020,15:26:44,-0.020481,-0.119351,-0.017902,-0.012629000000000001,-1.220807,3.129906,-0.005942,0.2956,-637.136747,2.798145,812.945435,-12.806987,0.5156069999999999
07-07-2020,15:26:45,-0.018238,-0.12185399999999999,-0.013711000000000001,-0.01683,-1.22874,3.136189,-0.0063560000000000005,0.296063,-637.15805,1.611824,802.994125,-12.538394,0.5141180000000001
07-07-2020,15:26:45,-0.018058,-0.122083,-0.012675,-0.017454,-1.230165,3.130718,-0.0073030000000000005,0.300437,-637.151784,2.470654,803.560969,-12.303636000000001,0.513133
07-07-2020,15:26:46,-0.020366,-0.115871,-0.012274,-0.013775999999999998,-1.235248,3.140846,-0.013758000000000001,0.293342,-637.118785,2.1912,816.4601200000001,-13.763563000000001,0.514429
07-07-2020,15:26:47,-0.018028,-0.114238,-0.014918,-0.013062,-1.233827,3.148144,-0.008646,0.292037,-637.125468,2.2889459999999997,806.5088089999999,-12.537975999999999,0.514994
07-07-2020,15:26:48,-0.016603,-0.10828800000000001,-0.013352000000000001,-0.014131,-1.229036,3.131397,-0.0048,0.292896,-637.1121009999999,2.3415790000000003,810.48006,-12.538394,0.513444
07-07-2020,15:26:49,-0.019854,-0.106807,-0.016048,-0.012782,-1.233367,3.131072,-0.004856,0.29446700000000003,-637.145519,1.688684,812.370237,-13.46197,0.513867
07-07-2020,15:26:50,-0.018525,-0.11080799999999999,-0.011293000000000001,-0.014896000000000001,-1.2324760000000001,3.122389,-0.009043,0.295555,-637.111683,1.9794169999999998,803.652867,-12.389268,0.513299
07-07-2020,15:26:51,-0.014431999999999999,-0.112,-0.013231,-0.014753,-1.228775,3.123443,-0.008603,0.299618,-637.147607,2.792297,801.341212,-12.81367,0.513692
07-07-2020,15:26:52,-0.018888,-0.107734,-0.015280000000000002,-0.015886,-1.227444,3.123027,-0.01035,0.300817,-637.107506,2.810259,810.725679,-13.426464000000001,0.511621
07-07-2020,15:26:53,-0.016859,-0.10972799999999999,-0.016009,-0.013477000000000001,-1.226297,3.119746,-0.006295,0.300225,-637.143012,3.61395,805.184641,-12.199624,0.5120979999999999
07-07-2020,15:26:54,-0.018907,-0.109725,-0.009628,-0.017404,-1.229063,3.1233880000000003,-0.00515,0.297181,-637.1513669999999,3.1456869999999997,810.416567,-12.766468,0.512072
07-07-2020,15:26:55,-0.013826,-0.110204,-0.016578,-0.013219,-1.226346,3.128205,-0.007417,0.296216,-637.1288099999999,3.3014959999999998,809.485054,-12.714253,0.5121680000000001
07-07-2020,15:26:55,-0.0185,-0.103005,-0.011791,-0.014828999999999998,-1.2244709999999999,3.125555,-0.007381,0.29985100000000003,-637.160974,3.053789,800.049209,-12.877999,0.512123
07-07-2020,15:26:56,-0.018909,-0.100207,-0.016161000000000002,-0.013983,-1.228221,3.122233,-0.011198,0.298256,-637.140506,3.101409,814.833524,-13.539248,0.511454
07-07-2020,15:26:57,-0.018817,-0.10120499999999999,-0.012484,-0.014122,-1.228742,3.117139,-0.00808,0.302261,-637.140924,3.118535,811.25284,-12.941075,0.511508
07-07-2020,15:26:58,-0.018466999999999997,-0.101204,-0.014175,-0.017973,-1.231649,3.124161,-0.007381,0.300236,-637.1162780000001,2.3791729999999998,812.551109,-12.977416,0.511288
07-07-2020,15:26:59,-0.015676,-0.09928300000000001,-0.017385,-0.015913,-1.224803,3.117082,-0.011165000000000001,0.30318,-637.163898,2.3336419999999998,806.557265,-13.055529,0.509571
07-07-2020,15:27:00,-0.016766999999999997,-0.0966,-0.018167,-0.012145999999999999,-1.225899,3.11477,-0.009164,0.303894,-637.144266,2.565476,807.760294,-13.561387,0.510695
07-07-2020,15:27:01,-0.017324000000000003,-0.09274400000000001,-0.013680000000000001,-0.014468,-1.226849,3.108015,-0.012159999999999999,0.30567,-637.145519,3.1222950000000003,802.586849,-12.403471000000001,0.510251
07-07-2020,15:27:02,-0.015543000000000001,-0.088782,-0.014306999999999999,-0.016309,-1.226997,3.121987,-0.010223999999999999,0.299642,-637.1288099999999,3.430153,808.040583,-12.960289999999999,0.5099739999999999
07-07-2020,15:27:03,-0.015211,-0.092821,-0.015085,-0.015338999999999998,-1.232316,3.125372,-0.009569,0.303369,-637.130063,3.050447,805.386399,-13.661221,0.508257
07-07-2020,15:27:04,-0.019048,-0.087686,-0.014957,-0.019138,-1.233989,3.138998,-0.007011,0.300252,-637.173088,2.078834,809.542282,-12.69838,0.508063
07-07-2020,15:27:05,-0.018383,-0.081879,-0.015740999999999998,-0.012416,-1.2310379999999999,3.1255830000000002,-0.007037999999999999,0.302701,-637.129645,2.54083,810.825096,-12.591444000000001,0.508532
07-07-2020,15:27:06,-0.016053,-0.083424,-0.013336,-0.011297,-1.2328139999999999,3.128857,-0.0072629999999999995,0.30488000000000004,-637.133823,2.989043,806.078977,-12.544242,0.5089779999999999
07-07-2020,15:27:06,-0.016619,-0.081312,-0.011579,-0.015512,-1.232199,3.135655,-0.006365,0.308012,-637.121709,2.4414130000000003,810.973386,-11.998284,0.508088
07-07-2020,15:27:07,-0.017416,-0.078373,-0.011131,-0.020925,-1.237262,3.144346,-0.009158,0.30641599999999997,-637.145101,2.877094,805.752739,-12.427280999999999,0.507849
