,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28,LA2,LA3
21,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115816026,-27.631019848756537,-20.958134422672778,-27.631021115928547,-16.39377646224724,-27.631020789778407,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
22,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.601434230491048,-27.631021115928547,-26.003221208640724,-25.209189486291876,-27.631021115928547,-25.672187259402364,-27.631020794088805,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
23,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-11.685272104940234,-27.631021115928547,-27.41600638555278,-17.29790622425885,-27.631021115928547,-27.631021115928547,-27.57397615554649,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
24,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-16.560790793728096,-27.631021115928547,-27.631021102720375,-22.054721347595724,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
25,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.526915435815003,-13.453710411009833,-27.631021115928547,-27.631021115928547,-18.15004348581411,-27.631021115928547,-20.8525125213974,-27.628673053356287,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
26,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631018847893966,-27.631021115928547,-27.631021115928547,-27.631021115928547,-19.938232267539576,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
27,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-20.41821396145383,-27.631021006306945,-27.63102110976904,-27.59294812589952,-26.725839921788022,-27.631021115928547,-27.581206263083185,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
28,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.63102111248285,-27.565627668978387,-26.70438929304587,-27.16928317353835,-19.22241888721751,-27.631021115928547,-27.631021115928547,-27.630945488713095,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
29,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928114,-27.631021115928547,-27.631021115928547,-27.631020962254674,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
30,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.63081745771105,-21.78465153120551,-27.631021115517296,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547
